"","cyc_date","bank_no","voltage","current","q_amt","sunshine_amt","data_cnt","data_fail","use_yn","use_desc","dtime","wday","sid"
"1","20211201",1,1112.25,16.74,133.09,0,1210032,0,"Y","",2021-12-01,"Wed",1
"2","20211201",2,1111.39,16.76,132.56,0,1209979,0,"Y","",2021-12-01,"Wed",2
"3","20211201",3,1111.57,16.8,132.8,0,1209642,0,"Y","",2021-12-01,"Wed",3
"4","20211202",1,1112.75,16.74,133.08,0,1209615,0,"Y","",2021-12-02,"Thu",4
"5","20211202",2,1110.5,16.77,132.61,0,1209798,0,"Y","",2021-12-02,"Thu",5
"6","20211202",3,1110.29,16.81,132.79,0,1209563,0,"Y","",2021-12-02,"Thu",6
"7","20211203",1,1113,16.73,133.07,0,1208702,0,"Y","",2021-12-03,"Fri",7
"8","20211203",2,1112.46,16.75,132.58,0,1209387,0,"Y","",2021-12-03,"Fri",8
"9","20211203",3,1111.89,16.79,132.82,0,1209636,0,"Y","",2021-12-03,"Fri",9
"10","20211204",1,1112.93,16.73,132.87,0,1210914,0,"Y","",2021-12-04,"Sat",10
"11","20211204",2,1111.54,16.76,132.55,0,1209884,0,"Y","",2021-12-04,"Sat",11
"12","20211204",3,1110.5,16.81,132.71,0,1209857,0,"Y","",2021-12-04,"Sat",12
"13","20211205",1,0,0,0,0,807316,0,"N","Data Fault Check",2021-12-05,"Sun",13
"14","20211205",2,0,0,0,0,807795,0,"N","Data Fault Check",2021-12-05,"Sun",14
"15","20211205",3,0,0,0,0,808742,0,"N","Data Fault Check",2021-12-05,"Sun",15
"16","20211206",1,1105.86,16.78,130.07,0,1208232,0,"Y","한전  요청으로 계통 방전 발생",2021-12-06,"Mon",16
"17","20211206",2,1105.68,16.81,131,0,1207538,0,"Y","",2021-12-06,"Mon",17
"18","20211206",3,1107.29,16.82,131.31,0,1205479,0,"Y","",2021-12-06,"Mon",18
"19","20211207",1,1110.21,16.76,132.84,0,1210955,0,"Y","",2021-12-07,"Tue",19
"20","20211207",2,1109.11,16.79,132.54,0,1210159,0,"Y","한전의 GR 요청(개통방전) 으로 인하여 방전 방식 바뀜",2021-12-07,"Tue",20
"21","20211207",3,1110.68,16.81,132.79,0,1213709,0,"Y","",2021-12-07,"Tue",21
"22","20211208",1,1109.86,16.76,132.82,0,1207909,0,"Y","",2021-12-08,"Wed",22
"23","20211208",2,1107.86,16.8,132.51,0,1209010,0,"Y","",2021-12-08,"Wed",23
"24","20211208",3,1109.43,16.82,132.77,0,1206731,0,"Y","",2021-12-08,"Wed",24
"25","20211209",1,1112.18,16.74,132.77,0,1210400,0,"Y","",2021-12-09,"Thu",25
"26","20211209",2,1111.79,16.76,132.51,0,1210328,0,"Y","",2021-12-09,"Thu",26
"27","20211209",3,1110.75,16.81,132.79,0,1210179,0,"Y","",2021-12-09,"Thu",27
"28","20211210",1,1112,16.74,132.67,0,1209138,0,"Y","",2021-12-10,"Fri",28
"29","20211210",2,1110.75,16.77,132.51,0,1209225,0,"Y","",2021-12-10,"Fri",29
"30","20211210",3,1112.11,16.79,132.76,0,1210080,0,"Y","",2021-12-10,"Fri",30
"31","20211211",1,1111.75,16.75,132.66,0,1210501,0,"Y","",2021-12-11,"Sat",31
"32","20211211",2,1112.5,16.75,132.49,0,1210288,0,"Y","",2021-12-11,"Sat",32
"33","20211211",3,1111.07,16.8,132.74,0,1209430,0,"Y","",2021-12-11,"Sat",33
"34","20211212",1,0,0,0,0,1210048,0,"N","HoliyDay",2021-12-12,"Sun",34
"35","20211212",2,0,0,0,0,1210647,0,"N","HoliyDay",2021-12-12,"Sun",35
"36","20211212",3,0,0,0,0,1211579,0,"N","HoliyDay",2021-12-12,"Sun",36
"37","20211213",1,1106.07,16.79,131.02,0,1207508,0,"Y","",2021-12-13,"Mon",37
"38","20211213",2,1106.61,16.8,130.99,0,1207516,0,"Y","",2021-12-13,"Mon",38
"39","20211213",3,1107.25,16.82,131.09,0,1206151,0,"Y","",2021-12-13,"Mon",39
"40","20211214",1,1110.14,16.76,132.56,0,1210517,0,"Y","",2021-12-14,"Tue",40
"41","20211214",2,1110.25,16.77,132.54,0,1209929,0,"Y","",2021-12-14,"Tue",41
"42","20211214",3,1110.71,16.8,132.71,0,1210754,0,"Y","",2021-12-14,"Tue",42
"43","20211215",1,1112.14,16.74,132.49,0,1209416,0,"Y","",2021-12-15,"Wed",43
"44","20211215",2,1112.11,16.75,132.55,0,1209975,0,"Y","",2021-12-15,"Wed",44
"45","20211215",3,1112.04,16.79,132.68,0,1210072,0,"Y","",2021-12-15,"Wed",45
"46","20211216",1,1111.36,16.75,132.47,0,1210024,0,"Y","",2021-12-16,"Thu",46
"47","20211216",2,1111.11,16.77,132.51,0,1209478,0,"Y","",2021-12-16,"Thu",47
"48","20211216",3,1110.64,16.81,132.65,0,1209078,0,"Y","",2021-12-16,"Thu",48
"49","20211217",1,1110.64,16.75,132.46,0,1209098,0,"Y","",2021-12-17,"Fri",49
"50","20211217",2,1111.18,16.77,132.52,0,1209533,0,"Y","",2021-12-17,"Fri",50
"51","20211217",3,1112.18,16.79,132.63,0,1209627,0,"Y","",2021-12-17,"Fri",51
"52","20211218",1,1110.21,16.76,132.46,0,1209752,0,"Y","",2021-12-18,"Sat",52
"53","20211218",2,1111.29,16.76,132.51,0,1210089,0,"Y","",2021-12-18,"Sat",53
"54","20211218",3,1111.07,16.8,132.68,0,1209336,0,"Y","",2021-12-18,"Sat",54
"55","20211219",1,0,0,0,0,1210860,0,"N","HoliyDay",2021-12-19,"Sun",55
"56","20211219",2,0,0,0,0,1210661,0,"N","HoliyDay",2021-12-19,"Sun",56
"57","20211219",3,0,0,0,0,1212168,0,"N","HoliyDay",2021-12-19,"Sun",57
"58","20211220",1,1107.11,16.77,130.94,0,1208233,0,"Y","",2021-12-20,"Mon",58
"59","20211220",2,1105.5,16.81,131.01,0,1207281,0,"Y","",2021-12-20,"Mon",59
"60","20211220",3,1105.64,16.83,129.95,0,1206444,0,"Y","",2021-12-20,"Mon",60
"61","20211221",1,1111.04,16.75,132.49,0,1210059,0,"Y","",2021-12-21,"Tue",61
"62","20211221",2,1110.89,16.77,132.54,0,1210750,0,"Y","",2021-12-21,"Tue",62
"63","20211221",3,1110.89,16.8,132.67,0,1210438,0,"Y","",2021-12-21,"Tue",63
"64","20211222",1,1110.18,16.76,132.42,0,1208772,0,"Y","",2021-12-22,"Wed",64
"65","20211222",2,1112.68,16.74,132.49,0,1209419,0,"Y","",2021-12-22,"Wed",65
"66","20211222",3,1112.21,16.79,132.62,0,1210100,0,"Y","",2021-12-22,"Wed",66
"67","20211223",1,1112.04,16.74,132.44,0,1210421,0,"Y","",2021-12-23,"Thu",67
"68","20211223",2,1111.82,16.76,132.51,0,1209543,0,"Y","",2021-12-23,"Thu",68
"69","20211223",3,1110.82,16.8,132.61,0,1209100,0,"Y","",2021-12-23,"Thu",69
"70","20211224",1,1111.21,16.75,132.47,0,1209141,0,"Y","",2021-12-24,"Fri",70
"71","20211224",2,1110.96,16.77,132.49,0,1209261,0,"Y","",2021-12-24,"Fri",71
"72","20211224",3,1111.89,16.79,132.52,0,1209629,0,"Y","",2021-12-24,"Fri",72
"73","20211225",1,968.57,18.13,17.25,0,1211485,0,"N","Christmas - HoliyDay",2021-12-25,"Sat",73
"74","20211225",2,970.46,18.11,17.23,0,1211705,0,"N","MaxQ Fail ",2021-12-25,"Sat",74
"75","20211225",3,968.61,18.18,17.3,0,1212270,0,"N","MaxQ Fail ",2021-12-25,"Sat",75
"76","20211226",1,0,0,0,0,1209063,0,"N","HoliyDay",2021-12-26,"Sun",76
"77","20211226",2,0,0,0,0,1209215,0,"N","HoliyDay",2021-12-26,"Sun",77
"78","20211226",3,0,0,0,0,1209194,0,"N","HoliyDay",2021-12-26,"Sun",78
"79","20211227",1,1101.93,16.64,112.97,0,1205154,0,"Y","",2021-12-27,"Mon",79
"80","20211227",2,1103.82,16.63,112.95,0,1207218,0,"Y","",2021-12-27,"Mon",80
"81","20211227",3,1102,16.69,113.09,0,1205082,0,"Y","",2021-12-27,"Mon",81
"82","20211228",1,1109.43,16.77,132.5,0,1212302,0,"Y","",2021-12-28,"Tue",82
"83","20211228",2,1109.11,16.79,132.5,0,1210222,0,"Y","",2021-12-28,"Tue",83
"84","20211228",3,1108.64,16.83,132.52,0,1211230,0,"Y","",2021-12-28,"Tue",84
"85","20211229",1,1111.18,16.75,132.42,0,1209976,0,"Y","",2021-12-29,"Wed",85
"86","20211229",2,1110.75,16.77,132.46,0,1209814,0,"Y","",2021-12-29,"Wed",86
"87","20211229",3,1109.39,16.82,132.5,0,1209577,0,"Y","",2021-12-29,"Wed",87
"88","20211230",1,1110.25,16.76,132.41,0,1209229,0,"Y","",2021-12-30,"Thu",88
"89","20211230",2,1112.46,16.75,132.5,0,1209776,0,"Y","",2021-12-30,"Thu",89
"90","20211230",3,1110.36,16.81,132.5,0,1209613,0,"Y","",2021-12-30,"Thu",90
"91","20211231",1,1112.07,16.74,132.41,0,1209968,0,"Y","",2021-12-31,"Fri",91
"92","20211231",2,1111.46,16.76,132.48,0,1209602,0,"Y","",2021-12-31,"Fri",92
"93","20211231",3,1111.57,16.8,132.48,0,1209766,0,"Y","",2021-12-31,"Fri",93
"94","20220101",1,969.46,18.12,17.23,0,1211508,0,"N","New Year - HoliyDay , MaxQ Fail ",2022-01-01,"Sat",94
"95","20220101",2,968.29,18.15,17.27,0,1211353,0,"N","MaxQ Fail ",2022-01-01,"Sat",95
"96","20220101",3,970,18.16,17.28,0,1212738,0,"N","MaxQ Fail ",2022-01-01,"Sat",96
"97","20220102",1,0,0,0,0,1209034,0,"N","HoliyDay",2022-01-02,"Sun",97
"98","20220102",2,0,0,0,0,1209217,0,"N","HoliyDay",2022-01-02,"Sun",98
"99","20220102",3,0,0,0,0,1209186,0,"N","HoliyDay",2022-01-02,"Sun",99
"100","20220103",1,1102.64,16.63,112.79,0,1206048,0,"Y","",2022-01-03,"Mon",100
"101","20220103",2,1103.96,16.64,114.26,0,1205635,0,"Y","",2022-01-03,"Mon",101
"102","20220103",3,1102.57,16.68,112.58,0,1204236,0,"Y","",2022-01-03,"Mon",102
"103","20220104",1,1110.07,16.76,132.46,0,1211453,0,"Y","",2022-01-04,"Tue",103
"104","20220104",2,1109.21,16.79,132.5,0,1211806,0,"Y","",2022-01-04,"Tue",104
"105","20220104",3,1109.25,16.82,132.55,0,1212045,0,"Y","",2022-01-04,"Tue",105
"106","20220105",1,1111.89,16.74,132.44,0,1209945,0,"Y","",2022-01-05,"Wed",106
"107","20220105",2,1110.68,16.77,132.49,0,1209612,0,"Y","",2022-01-05,"Wed",107
"108","20220105",3,1110.14,16.81,132.55,0,1209612,0,"Y","",2022-01-05,"Wed",108
"109","20220106",1,1111,16.75,132.46,0,1210045,0,"Y","",2022-01-06,"Thu",109
"110","20220106",2,1112.43,16.75,132.5,0,1209926,0,"Y","",2022-01-06,"Thu",110
"111","20220106",3,1111.25,16.8,132.54,0,1210185,0,"Y","",2022-01-06,"Thu",111
"112","20220107",1,1110.21,16.76,132.46,0,1208781,0,"Y","",2022-01-07,"Fri",112
"113","20220107",2,1111.57,16.76,132.51,0,1209639,0,"Y","",2022-01-07,"Fri",113
"114","20220107",3,1112.68,16.78,132.54,0,1209630,0,"Y","",2022-01-07,"Fri",114
"115","20220108",1,1112,16.74,132.44,0,1210943,0,"Y","",2022-01-08,"Sat",115
"116","20220108",2,1110.57,16.78,132.51,0,1209582,0,"Y","",2022-01-08,"Sat",116
"117","20220108",3,1111.18,16.8,132.52,0,1209329,0,"Y","",2022-01-08,"Sat",117
"118","20220109",1,0,0,0,0,1209954,0,"N","HoliyDay",2022-01-09,"Sun",118
"119","20220109",2,0,0,0,0,1210952,0,"N","HoliyDay",2022-01-09,"Sun",119
"120","20220109",3,0,0,0,0,1212127,0,"N","HoliyDay",2022-01-09,"Sun",120
"121","20220110",1,1106.29,16.79,130.9,0,1207571,0,"Y","",2022-01-10,"Mon",121
"122","20220110",2,1107.5,16.79,130.98,0,1207508,0,"Y","",2022-01-10,"Mon",122
"123","20220110",3,1105.86,16.83,130.04,0,1205670,0,"Y","",2022-01-10,"Mon",123
"124","20220111",1,1110,16.76,132.43,0,836533,0,"N","Data Fault Check",2022-01-11,"Tue",124
"125","20220111",2,1111.18,16.76,132.48,0,1210168,0,"Y","",2022-01-11,"Tue",125
"126","20220111",3,1111,16.8,132.53,0,1203008,0,"Y","",2022-01-11,"Tue",126
"127","20220112",1,NA,NA,NA,NA,NA,NA,"N","Data Fault Check",2022-01-12,"Wed",127
"128","20220112",2,1111.36,16.76,132.5,0,1209781,0,"Y","",2022-01-12,"Wed",128
"129","20220112",3,1112.14,16.79,132.54,0,1209640,0,"Y","",2022-01-12,"Wed",129
"130","20220113",1,NA,NA,NA,NA,NA,NA,"N","Data Fault Check",2022-01-13,"Thu",130
"131","20220113",2,1077,17.02,107.87,0,1210981,0,"Y","MaxQ Fail ",2022-01-13,"Thu",131
"132","20220113",3,1077.29,17.05,108.03,0,1211915,0,"Y","MaxQ Fail ",2022-01-13,"Thu",132
"133","20220114",1,NA,NA,NA,NA,NA,NA,"N","Data Fault Check",2022-01-14,"Fri",133
"134","20220114",2,1074.61,17.02,104.29,0,1209613,0,"Y","MaxQ Fail ",2022-01-14,"Fri",134
"135","20220114",3,1075.04,17.05,104.42,0,1209599,0,"Y","MaxQ Fail ",2022-01-14,"Fri",135
"136","20220115",1,0,0,0,0,541815,0,"N","Data Fault Check",2022-01-15,"Sat",136
"137","20220115",2,1074.25,17.05,106.1,0,1209980,0,"Y","MaxQ Fail ",2022-01-15,"Sat",137
"138","20220115",3,1074.32,17.08,106.14,0,1209998,0,"Y","MaxQ Fail ",2022-01-15,"Sat",138
"139","20220116",1,NA,NA,NA,NA,NA,NA,"N","Data Fault Check",2022-01-16,"Sun",139
"140","20220116",2,0,0,0,0,1209257,0,"N","HoliyDay",2022-01-16,"Sun",140
"141","20220116",3,0,0,0,0,1209243,0,"N","HoliyDay",2022-01-16,"Sun",141
"142","20220117",1,NA,NA,NA,NA,NA,NA,"N","Data Fault Check",2022-01-17,"Mon",142
"143","20220117",2,1072.68,17.07,106.61,0,1209625,0,"Y","MaxQ Fail ",2022-01-17,"Mon",143
"144","20220117",3,1072.14,17.11,106.26,0,1209617,0,"Y","MaxQ Fail ",2022-01-17,"Mon",144
"145","20220118",1,NA,NA,NA,NA,NA,NA,"N","Data Fault Check",2022-01-18,"Tue",145
"146","20220118",2,1075.82,17.02,106.1,0,1209606,0,"Y","MaxQ Fail ",2022-01-18,"Tue",146
"147","20220118",3,1075.04,17.06,106.13,0,1209613,0,"Y","MaxQ Fail ",2022-01-18,"Tue",147
"148","20220119",1,NA,NA,NA,NA,NA,NA,"N","Data Fault Check",2022-01-19,"Wed",148
"149","20220119",2,1075.29,17.02,106.09,0,1209596,0,"Y","MaxQ Fail ",2022-01-19,"Wed",149
"150","20220119",3,1074.5,17.07,106.15,0,1209606,0,"Y","MaxQ Fail ",2022-01-19,"Wed",150
"151","20220120",1,NA,NA,NA,NA,NA,NA,"N","Data Fault Check",2022-01-20,"Thu",151
"152","20220120",2,1075.11,17.03,106.15,0,1209629,0,"Y","MaxQ Fail ",2022-01-20,"Thu",152
"153","20220120",3,1073.89,17.09,106.13,0,1209642,0,"Y","MaxQ Fail ",2022-01-20,"Thu",153
